epoch,train_loss,val_loss,val_f1
1,0.7462,0.59688,0.85333
2,0.62153,0.55861,0.81818
3,0.56147,0.51771,0.79365
4,0.52599,0.47726,0.79365
5,0.49204,0.44656,0.79365
6,0.47587,0.42795,0.8
7,0.46294,0.41956,0.8
8,0.46113,0.41879,0.8
9,0.44196,0.42294,0.8
10,0.45224,0.42791,0.8
11,0.4366,0.43217,0.8125
12,0.42182,0.43543,0.80645
13,0.40068,0.43802,0.80645
14,0.41325,0.4363,0.80645
15,0.41583,0.4333,0.80645
16,0.41438,0.43074,0.80645
17,0.40422,0.4294,0.8254
18,0.37669,0.42652,0.8254
19,0.37537,0.42212,0.8125
20,0.36634,0.41894,0.78788
21,0.36422,0.41427,0.78788
22,0.38724,0.41173,0.8
23,0.37837,0.40951,0.8
24,0.37086,0.40866,0.8
25,0.33301,0.40821,0.8
26,0.33387,0.40329,0.8
27,0.35993,0.39539,0.81818
28,0.3491,0.39044,0.82353
29,0.33451,0.3891,0.84058
30,0.33331,0.39132,0.83582
31,0.32021,0.39247,0.81818
